Date,Sales Rep,Customer Code,Sales,Profit,Region
13-May-08,James,CUSTN 1011,11900,5500,West
14-May-08,Abhay,CUSTN 1015,12450,2100,South
15-May-08,Jaspreet,CUSTN 1020,10400,2000,West
16-May-08,Veronica,CUSTN 1013,12050,2280,South
16-May-08,James,CUSTN 1022,12300,2460,North
19-May-08,Mark,CUSTN 1014,10550,3080,East
21-May-08,Abhay,CUSTN 1016,13600,5760,East
22-May-08,Ramesh,CUSTN 1020,14350,2660,South
23-May-08,Jaspreet,CUSTN 1017,12500,2800,South
23-May-08,Veronica,CUSTN 1019,12100,3540,West
24-May-08,Abhay,CUSTN 1013,14800,3580,West
27-May-08,Charley,CUSTN 1020,11950,2360,East
31-May-08,Varsha,CUSTN 1013,13350,4740,North
2-Jun-08,Anshika,CUSTN 1015,12300,4700,West
3-Jun-08,Charley,CUSTN 1019,11900,4620,North
3-Jun-08,Ramesh,CUSTN 1015,12700,4000,South
4-Jun-08,Veronica,CUSTN 1019,10150,2700,South
5-Jun-08,Charley,CUSTN 1016,14350,2340,West
5-Jun-08,Swati,CUSTN 1011,10350,2600,North
13-Jun-08,Bruce,CUSTN 1020,14000,2420,North
14-Jun-08,Bruce,CUSTN 1014,12250,3320,North
18-Jun-08,Mark,CUSTN 1022,11500,3220,East
22-Jun-08,Abhay,CUSTN 1018,12500,3360,West
22-Jun-08,Anshika,CUSTN 1017,12050,2800,South
22-Jun-08,Veronica,CUSTN 1015,11050,3120,West
24-Jun-08,Anshika,CUSTN 1014,13050,4940,South
28-Jun-08,Rajat,CUSTN 1021,11650,3240,North
30-Jun-08,Bruce,CUSTN 1017,10150,2400,West
1-Jul-08,Varsha,CUSTN 1013,13150,4080,North
